fcltynm,mt10id,mt13cnt,fcltychartr,opende,seatscale,telno,relateurl,adres,la,lo,restaurant,cafe,store,nolibang,suyu,parkbarrier,restbarrier,runwbarrier,elevbarrier,parkinglot,mt13s
민들레연극마을,FC001532,3,민간(대학로 외),2007,300,031-358-7587,http://www.mdl.or.kr/home/,경기도 화성시 우정읍 이화뱅곳길 22,37.0378517,126.79807219999998,N,N,N,N,N,N,N,N,N,N,"
            "
대중아트홀,FC002773,1,민간(대학로 외), ,0,032-565-4529, ,인천광역시 서구 검단로768번1길 18 (불로동),37.612644,126.6850428,N,N,N,N,N,N,N,N,N,N,"
            "
민송아트홀 (구. 브로드웨이아트홀),FC001682,2,민간(대학로),2017,466,02-766-8134,http://www.semyung.ac.kr/smenter/sub05_01.do,서울특별시 종로구 대학로 144 (혜화동) 중원빌딩 6층,37.5839463,127.00204540000004,N,N,N,N,N,N,N,N,N,N,"
            "
광주북구문화센터(양산도서관),FC002769,2,공공(기타), ,377,062-410-8367,https://bukgu.gwangju.kr/bcc/,광주광역시 북구 하서로 299 (양산동),35.2013855,126.8738526,N,Y,N,Y,N,N,N,N,N,Y,"
            "
산청문화예술회관,FC000884,2,공공(문예회관),2006,653,055-970-6481,http://www.sccl.ne.kr/www/contents.do?key=232,경상남도 산청군 금서면 친환경로2631번길 12,35.4200512,127.87305990000004,N,N,N,N,N,Y,Y,Y,Y,Y,"
            "
나인진홀 (구.청년극장),FC001121,3,민간(대학로),2010,207,070-4618-5632, ,서울특별시 종로구 동숭길 47 (동숭동),37.580304,127.00424399999997,N,N,N,N,N,N,N,N,N,N,"
            "
대전서구문화원,FC000616,1,공공(기타),1995,523,042-488-5474,http://www.sgcc.or.kr/,대전광역시 서구 계룡로553번길 38 (탄방동),36.3445855,127.38557230000004,N,N,N,N,N,N,N,N,N,Y,"
            "
을숙도문화회관,FC000178,3,공공(문예회관),2002,927,051-220-5804,http://www.saha.go.kr/eulsukdo/contents.do?mId=0103000000,부산광역시 사하구 낙동남로1233번길 25 (하단동),35.1099098,128.94485229999998,N,Y,N,N,N,Y,N,Y,N,Y,"
            "
후용공연예술센터,FC001336,2,민간(대학로 외),2001,440,033-732-0827,http://www.hooyongartscentre.com/main.php,강원도 원주시 문막읍 비야동길 11,37.312596,127.81722890000003,N,N,N,N,N,N,N,N,N,Y,"
            "
봉산문화회관,FC000200,2,공공(문예회관),2004,504,053-661-3500,http://www.bongsanart.org/main/main.html,대구광역시 중구 봉산문화길 77 (봉산동),35.8631367,128.59656180000002,N,N,N,N,N,N,Y,N,N,Y,"
            "
빵집 오붓한생 [목포],FC004064,1,기타(비공연장), ,0,061-242-4985,https://www.instagram.com/ohbood,전라남도 목포시 해안로237번길 24 (행복동2가),34.7875479,126.3859311,N,N,N,N,N,N,N,N,N,N,"
            "
세종문화회관,FC000020,8,공공(문예회관),1978,5342,02-399-1000,http://www.sejongpac.or.kr/,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.97564290000003,N,N,N,N,N,Y,Y,N,N,Y,"
            "
얼굴박물관 [경기 광주],FC004111,1,기타(비공연장), ,0,031-765-3522,http://www.visagej.org/,경기도 광주시 남종면 분원길 3-6,37.4940051,127.3021274,N,N,N,N,N,N,N,N,N,Y,"
            "
스튜디오 블루,FC002989,1,민간(대학로), ,180,02-725-9207, ,서울특별시 종로구 대학로8가길 80(동숭동),37.5824773,127.003268,N,N,N,N,N,N,N,N,N,N,"
            "
연희예술극장,FC001852,1,민간(대학로 외),2018,115,010-3441-5877,http://yeonheeart.com/INTRO,서울특별시 서대문구 연희맛로 2-3 (연희동),37.5656012,126.92854110000007,N,Y,N,N,N,N,N,N,N,N,"
            "
작은무대 극단가인,FC002535,1,민간(대학로 외),2017,70,070-8704-0421,https://cafe.naver.com/letsplaygain,대구광역시 남구 계명중앙1길 1 (대명동),35.8569632,128.5802129,N,N,N,N,N,N,N,N,N,N,"
            "
국립극단 [용산],FC001111,8,국립,2010,372,00-1644-2003,http://www.ntck.or.kr/,서울특별시 용산구 청파로 373 (서계동),37.5529135,126.96795470000006,N,Y,N,N,N,N,N,N,N,Y,"
            "
창조소극장 (구. 민아트홀),FC001636,1,민간(대학로),2018,100,02-3667-0170,https://changjotheater.modoo.at/,서울특별시 종로구 창경궁로 259 (명륜2가),37.58451489999999,127.0000258,N,N,N,N,N,N,N,N,N,N,"
            "
예스24 스테이지(구. DCF대명문화공장),FC001236,3,민간(대학로),2014,962,02-742-9637,https://yes24stage.com/,서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.00324840000007,N,N,N,N,N,N,N,N,N,Y,"
            "
군포시평생학습원,FC002471,1,공공(기타),2006,87,031-390-3050,https://www.happygp.or.kr/,경기도 군포시 고산로 263 (당동),37.3463508,126.9430831,N,N,N,Y,Y,Y,Y,N,N,Y,"
            "
경성대학교 콘서트홀,FC000253,1,민간(대학로 외),1983,669,051-663-5361,https://cms1.ks.ac.kr/culture/Contents.do?mCode=MN0969,부산광역시 남구 수영로 309 (대연동),35.1377291,129.09820539999998,Y,Y,Y,N,N,Y,Y,N,N,Y,"
            "
뉴코아소극장 [부천],FC002478,1,민간(대학로 외),2007,160,032-624-8120,https://nc123.modoo.at/,경기도 부천시 송내대로 239 (상동),37.5041199,126.7566315,Y,Y,N,N,N,Y,Y,N,Y,Y,"
            "
우전소극장,FC000859,1,민간(대학로 외),2005,100,053-653-2086, ,대구광역시 남구 현충로 256 (대명동),35.8552072,128.5832752,N,N,N,N,N,N,N,N,N,N,"
            "
당진문예의전당,FC000424,3,공공(문예회관),2005,1401,041-350-2911,http://www.dangjinart.kr/,충청남도 당진시 무수동2길 25-21 (읍내동),36.8901441,126.63786579999999,N,N,N,N,N,Y,Y,Y,Y,Y,"
            "
한예극장,FC003249,2,민간(대학로), ,671,02-3665-6268,https://hanye.modoo.at/,서울특별시 종로구 이화장길 66(동숭동),37.5782086,127.0047187,N,N,N,N,N,N,N,N,N,N,"
            "
백암아트홀,FC000062,1,민간(대학로 외),2004,417,02-559-1333,http://www.baekamhall.com/,서울특별시 강남구 테헤란로113길 7 (삼성동),37.5103488,127.06596250000007,N,N,N,N,N,Y,N,N,Y,Y,"
            "
구로아트밸리,FC000783,1,공공(문예회관),2008,1124,02-2029-1700,http://www.guroartsvalley.or.kr/,서울특별시 구로구 가마산로25길 9-24 (구로동),37.4965397,126.88896820000002,N,Y,N,N,Y,Y,Y,N,Y,N,"
            "
예술공간 혜화,FC001094,1,민간(대학로),2012,110,02-747-9139, ,서울특별시 종로구 혜화로 10-3 성인빌딩 ,37.5890224,126.99993619999998,N,N,N,N,N,N,N,N,N,N,"
            "
울진문화예술회관,FC000556,1,공공(문예회관),2007,492,054-789-5453,http://www.uljin.go.kr/index.sko?menuCd=AB13000000000,경상북도 울진군 후포면 후포삼율로 194-14,36.6871849,129.44381250000004,N,N,N,N,N,N,N,N,N,Y,"
            "
노원어린이극장(구.노원어울림극장),FC001791,1,공공(문예회관),2020,204,02-2289-3453,https://www.nowonarts.kr/html/,서울특별시 노원구 노해로 502 (상계동),37.6543814,127.06366559999992,N,Y,N,Y,Y,Y,N,N,Y,Y,"
            "
과천시민회관,FC000808,2,공공(문예회관),1995,1309,02-504-7300,http://www.gccs.or.kr/dev_home/facilities/status.php,경기도 과천시 통영로 5 (중앙동),37.4279091,126.98950450000007,Y,Y,N,N,N,Y,N,Y,N,Y,"
            "
윤당아트홀,FC000055,2,민간(대학로 외),2009,417,02-546-8095,http://www.ydart.co.kr/,서울특별시 강남구 언주로 844 (신사동),37.5256519,127.03371519999996,N,N,N,N,N,Y,N,Y,Y,Y,"
            "
남산골한옥마을,FC000568,7,공공(문예회관),2007,452,02-2261-0500,www.hanokmaeul.or.kr,서울특별시 중구 퇴계로34길 28 (필동2가),37.5588388,126.99407270000006,N,Y,N,N,N,Y,N,N,N,Y,"
            "
미마지아트센터,FC000227,3,민간(대학로),2008,382,02-6404-5005,http://www.mimagi.com/,서울특별시 종로구 혜화로 17 (명륜1가),37.5870645,126.99977209999997,N,N,N,N,N,N,N,N,N,N,"
            "
동숭무대소극장,FC001203,1,민간(대학로),2002,150,010-8299-6553,http://cafe.naver.com/dsstage,서울특별시 종로구 혜화로 35 (명륜1가),37.5864426,127.00049820000004,Y,N,N,N,N,N,N,Y,N,N,"
            "
강북문화예술회관,FC000032,2,공공(문예회관),2001,839,02-944-8979,https://www.gbcf.or.kr/,서울특별시 강북구 삼각산로 85 (수유동),37.6407764,127.01315840000007,Y,N,Y,N,N,Y,Y,Y,Y,Y,"
            "
아트포레스트 아트홀,FC001603,2,민간(대학로),2016,367,02-3672-0900, ,서울특별시 종로구 대학로12길 22 (동숭동),37.5825141,127.00306330000001,N,N,N,N,N,N,N,N,N,N,"
            "
마포아트센터,FC000788,3,공공(문예회관),2002,1475,02-3274-8500,http://www.mapoartcenter.or.kr/,서울특별시 마포구 대흥로20길 28 (대흥동),37.5499054542971,126.945526907783,N,N,N,N,N,Y,N,Y,N,Y,"
            "
카페 옴니버스,FC004078,1,기타(비공연장), ,0, , ,"서울특별시 은평구 진관3로 77 (진관동, 은평뉴타운 구파발)",37.6447083,126.9208769,N,N,N,N,N,N,N,N,N,N,"
            "
광명문화예술교육지원센터 광명극장,FC002857,1,공공(기타),2017,480,02-2621-8890,http://gm-arte.or.kr/index.php,경기도 광명시 철망산로 2(하안동),37.4667641,126.8699008,N,N,N,N,N,N,N,N,N,Y,"
            "
NC소극장 [안산고잔],FC002055,1,민간(대학로 외), ,200,031-414-2100,https://ansanart1.modoo.at/,경기도 안산시 단원구 광덕대로 194 (고잔동),37.3138933,126.8310464,Y,Y,Y,Y,Y,Y,N,N,N,Y,"
            "
서교스퀘어,FC004086,1,민간(대학로 외), ,0, , ,"서울특별시 마포구 양화로 72 (서교동, 서교동 효성 해링턴 타워)",37.5508138,126.916494,N,N,N,N,N,N,N,N,N,N,"
            "
세종시민회관,FC004159,1,민간(대학로 외), ,250, , ,세종특별자치시 조치원읍 문화로 17,36.6031468,127.3006865,N,N,N,N,N,N,N,N,N,N,"
            "
정선아리랑센터,FC002264,1,공공(문예회관),2016,612,033-560-3000,http://www.jacf.or.kr/,강원도 정선군 정선읍 애산로 51,37.3754322,128.6714877,N,Y,N,N,N,N,N,N,N,Y,"
            "
공간아울,FC001209,1,민간(대학로),2010,172,02-3675-0116, ,서울특별시 종로구 대학로 120 (동숭동),37.5818372,127.00227960000007,Y,N,N,N,N,N,N,N,N,N,"
            "
강서아트리움,FC003405,1,공공(문예회관), ,215,02-2607-4985, ,서울특별시 강서구 가로공원로 195 (화곡동),37.5375431,126.8376421,N,N,N,N,N,N,N,N,N,N,"
            "
콘텐츠박스(구. 르메이에르 씨어터),FC000841,1,민간(대학로),2006,196,02-747-2232, ,서울특별시 종로구 동숭길 55 (동숭동),37.5807178,127.00416599999994,N,N,N,N,N,N,N,N,N,N,"
            "
횡성문화예술회관,FC001195,2,공공(문예회관),2013,740,033-340-5974,https://hscf.or.kr/bbs/content.php?co_id=sub_07_01,강원도 횡성군 횡성읍 문예로 75,37.4905462,127.97696010000004,N,N,Y,N,Y,Y,Y,Y,Y,Y,"
            "
브로일링커피 강동점,FC004020,1,기타(비공연장), ,0,010-3211-0435, ,서울특별시 강동구 성내로10길 9-6 (성내동),37.5282637,127.1249507,N,N,N,N,N,N,N,N,N,N,"
            "
하늘바람소극장,FC000408,1,민간(대학로 외),2014,0, ,http://cafe.naver.com/habaso,부산광역시 남구 용소로13번길 17 (대연동),35.1367436,129.10148430000004,N,N,N,N,N,N,N,N,N,N,"
            "
골목실험극장,FC002023,1,민간(대학로 외),2017,100,010-6533-2985,https://blog.naver.com/dpas17125/221423484160,대구광역시 남구 계명중앙1길 39-4 (대명동),35.8561262,128.5821888,N,N,N,N,N,N,N,N,N,N,"
            "
거제문화예술회관,FC000878,3,공공(문예회관),2003,1933,055-680-1000,http://www.geojeart.or.kr/,경상남도 거제시 장승로 145 (장승포동),34.8671887,128.72397890000002,N,Y,N,N,N,Y,N,N,N,Y,"
            "
충주시문화회관,FC000405,1,공공(문예회관),1985,889,043-850-3914,https://www.chungju.go.kr/culture/,충청북도 충주시 중앙로 128 (성내동),36.9707081,127.93725459999996,N,N,N,N,N,N,N,N,N,Y,"
            "
올웨이즈 씨어터(구.아티스탄홀),FC000372,1,민간(대학로),2003,299,070-4618-5633, ,서울특별시 종로구 대학로 132 (동숭동),37.5830591,127.00208550000002,N,N,N,N,N,N,N,N,N,N,"
            "
신탄진도서관,FC003942,1,공공(기타), ,0, ,https://lib.daedeok.go.kr/sintanlib/index.do,대전광역시 대덕구 신탄진동로 64 (신탄진동),36.4465053,127.437329,N,N,N,N,N,N,N,N,N,N,"
            "
대전예술의전당,FC000076,3,공공(문예회관),2003,3039,042-270-8333,http://www.djac.or.kr/,대전광역시 서구 둔산대로 135 (만년동),36.3665211,127.3837135,N,Y,N,Y,N,Y,Y,Y,Y,Y,"
            "
이수아트홀 [대전],FC001693,1,민간(대학로 외),2011,282,00-1644-4325,https://isuart.modoo.at/,대전광역시 서구 문정로 78 (탄방동),36.3464125,127.38785259999997,N,Y,N,N,N,N,N,N,Y,N,"
            "
아르코 꿈밭극장 (구.학전),FC000744,3,민간(대학로),1991,374,02-763-8233,http://hakchon.co.kr/,서울특별시 종로구 대학로12길 46 (동숭동),37.58202130000001,127.00370139999995,N,N,N,N,N,N,N,N,N,N,"
            "
대학로스타시티,FC000389,6,민간(대학로),2007,654,02-894-0202, ,서울특별시 종로구 대학로11길 23 (명륜4가),37.5820799726622,127.000480025926,N,Y,Y,N,N,N,N,N,N,N,"
            "
아르코예술극장,FC002632,5,국립,1981,855,02-3668-0007,http://theater.arko.or.kr/Pages/Main.aspx,서울특별시 종로구 대학로8길 7 (동숭동),37.5811855,127.0029999,N,N,N,Y,N,N,N,N,N,Y,"
            "
조이마루아트홀 (복합문화공간 플랜에이),FC001691,2,민간(대학로 외),2014,346,042-862-2221,https://plana2021.modoo.at/,대전광역시 유성구 엑스포로97번길 40 (도룡동),36.3767096,127.39080369999999,Y,Y,N,N,Y,Y,N,N,N,Y,"
            "
한해랑아트홀,FC001365,1,민간(대학로 외),2015,223,00-1644-4356,http://16444356.cusmore.com/,전라북도 전주시 완산구 홍산중앙로 13 (효자동2가),35.8161628,127.10896359999992,N,N,N,N,N,Y,Y,N,Y,Y,"
            "
중랑구민회관,FC000251,2,공공(문예회관),1994,648,02-2207-6130,http://www.jungnangimc.or.kr/content.do?sgrp=S01&siteCmsCd=CM0001&topCmsCd=CM0007&cmsCd=CM0057&pnum=1&cnum=1,서울특별시 중랑구 면목로 238 (면목동),37.5739185,127.0850931,Y,N,N,N,N,Y,N,N,N,Y,"
            "
갈산문화예술센터,FC002940,2,공공(문예회관),2022,299, , ,서울특별시 양천구 목동남로 106(신정동),37.510804,126.8701983,N,Y,N,N,N,N,N,N,N,Y,"
            "
삼일로창고극장,FC000248,1,민간(대학로 외),1975,50,02-3789-9640,http://samilro.com,서울특별시 중구 삼일대로9길 12 (저동1가),37.5633965,126.98788530000002,N,N,N,N,N,N,N,N,N,N,"
            "
놀터예술공방,FC001424,1,민간(대학로),2014,50,070-4790-6051, ,서울특별시 성북구 성북로2길 21 - 0 태고종선부암,37.589462,127.00701389999995,N,N,N,N,N,N,N,N,N,N,"
            "
한옥마을아트홀,FC001418,1,민간(대학로 외),2008,60,063-282-1033,http://cafe.naver.com/woodmge,전라북도 전주시 완산구 홍산북로 23-9 (효자동2가),35.818148,127.1042953,N,N,N,N,N,N,N,N,N,N,"
            "
씨어터조이 (구. 마당세실극장),FC000419,1,민간(대학로),1997,100,02-747-5773, ,서울특별시 종로구 이화장길 78 (동숭동),37.578643,127.00462949999996,N,N,N,N,N,N,N,N,N,N,"
            "
라이트 하우스,FC002829,1,민간(대학로 외), ,0, , ,서울특별시 성북구 삼선교로10다길 74(삼선동1가),37.5837374,127.0084146,N,N,N,N,N,N,N,N,N,N,"
            "
Bibistudio,FC004067,1,민간(대학로 외), ,12, , ,서울특별시 은평구 갈현로 250 (갈현동),37.6191498,126.915675,N,N,N,N,N,N,N,N,N,N,"
            "
춘천문화예술회관,FC000371,2,공공(문예회관),1993,940,033-259-5841,http://www.cccf.or.kr/designer/skin/cafacility/cahallfacility.html,강원도 춘천시 효자상길5번길 13 (효자동),37.8727557,127.72918819999995,N,N,N,N,N,Y,Y,N,N,Y,"
            "
사각사각 플레이스,FC003979,1,공공(기타), ,0, , ,서울특별시 송파구 한가람로 65 (잠실동),37.5176288,127.0867373,N,N,N,N,N,N,N,N,N,N,"
            "
어울림소극장 [원주],FC001288,1,민간(대학로 외),2013,85,010-5366-4545, ,강원도 원주시 중앙로 27 (인동),37.346246,127.95375680000006,N,N,N,N,N,N,N,N,N,N,"
            "
"파랑씨어터 (구. 도향아트홀, 구. 뮤디스홀)",FC000749,1,민간(대학로),2017,160,070-4870-1932, ,서울특별시 종로구 대학로8가길 36 (동숭동),37.5825016130959,127.002454486033,Y,N,N,N,N,N,N,N,N,N,"
            "
청송군문화예술회관,FC001745,3,공공(문예회관),2013,430,054-870-6070,https://www.cs.go.kr/countyOffice/culture/00003360.web,경상북도 청송군 청송읍 금월로 244-30,36.4295305,129.05953249999993,N,N,N,N,N,N,N,N,N,Y,"
            "
목포시민문화체육센터,FC000491,3,공공(문예회관),2004,2057,061-270-8376,http://art.mokpo.go.kr/,전라남도 목포시 부주로 312 (옥암동),34.8122752,126.43679280000003,Y,N,N,N,N,Y,Y,Y,Y,Y,"
            "
충남대학교 정심화국제문화회관,FC001296,3,공공(기타),2000,2395,042-821-8081,https://jsh.cnu.ac.kr/smain.html,대전광역시 유성구 대학로 99,36.3679381,127.3442986,N,Y,Y,N,N,Y,N,Y,N,Y,"
            "
극장 봄 (봄소극장),FC001331,1,민간(대학로),2011,55,070-4127-8318,http://theaterbom.modoo.at,서울특별시 성북구 삼선교로 14 (삼선동1가),37.5875069,127.00735239999994,N,N,N,N,N,N,N,N,N,N,"
            "
공주문예회관,FC000415,2,공공(문예회관),1990,735,041-840-2180,http://acc.gongju.go.kr/,충청남도 공주시 고마나루길 5 (웅진동),36.46003280000001,127.11140380000006,N,Y,N,Y,N,Y,N,Y,N,Y,"
            "
원주중앙청소년문화의집,FC001279,2,민간(대학로 외),2010,160,033-734-3688,http://www.wjyc.or.kr/,강원도 원주시 중앙로 89 (중앙동),37.3489059,127.95101010000008,N,Y,N,N,N,N,N,N,N,N,"
            "
대학로예술극장,FC002633,4,국립,2009,999,02-3668-0007,http://theater.arko.or.kr/Pages/Main.aspx,서울특별시 종로구 대학로10길 17 (동숭동),37.5820961,127.0031785,N,N,N,N,N,N,N,N,N,Y,"
            "
제주시 산지천 광장 일대,FC003792,1,기타(비공연장), ,0, , ,제주특별자치도 제주시 만덕로 18 (건입동),33.5150321,126.531518,N,N,N,N,N,N,N,N,N,N,"
            "
하땅세극장,FC003122,1,민간(대학로), ,0,00-1600-2238,https://blog.naver.com/haddangse2,서울특별시 성북구 성북로 5-7(성북동1가),37.5887016,127.0051567,N,N,N,N,N,N,N,N,N,N,"
            "
서귀포예술의전당,FC001231,3,공공(문예회관),2014,1115,064-760-3341,https://culture.seogwipo.go.kr/artcenter/index.htm,제주특별자치도 서귀포시 태평로 270 (서홍동),33.2452306,126.55175259999999,N,N,N,Y,N,N,Y,Y,Y,Y,"
            "
떼아뜨르 다락 소극장,FC001375,1,민간(대학로 외),2011,90,032-777-1959,http://cafe.daum.net/theatre-dalak,인천광역시 중구 신포로27번길 3 (중앙동4가),37.4714118,126.62473279999995,N,N,N,N,N,N,N,N,N,N,"
            "
평촌아트홀,FC001245,1,공공(문예회관),2004,638,031-687-0500,http://www.ayac.or.kr/,경기도 안양시 동안구 평촌대로 76 (호계동),37.3801134,126.96406060000004,N,Y,N,Y,N,Y,Y,Y,Y,Y,"
            "
굿씨어터,FC001240,1,민간(대학로),2004,320,00-1800-7382, ,서울특별시 종로구 대학로 144 (혜화동),37.586755,127.00035539999999,N,N,N,N,N,Y,N,N,N,Y,"
            "
청라복합문화센터 블루노바홀,FC002833,1,공공(문예회관),2021,486,032-580-1196,https://iscf.kr/_new/html/centerIntro/cheongna.php,인천광역시 서구 청라대로 20 (청라동),37.5240132,126.6341822,N,Y,N,N,N,Y,N,Y,N,Y,"
            "
SH아트홀,FC001384,1,민간(대학로),2011,260,02-747-2265,https://www.facebook.com/sharthall/,서울특별시 종로구 동숭길 25 (동숭동),37.5798541,127.0035752,N,Y,N,N,N,N,N,N,N,N,"
            "
경복궁아트홀,FC000194,1,민간(대학로 외),2012,155,02-735-0506,https://gbgarthall.modoo.at/,서울특별시 종로구 자하문로 82 (효자동),37.5833005,126.97069980000003,N,N,N,N,N,N,N,N,N,N,"
            "
뜻밖의 극장(구. 해우소소극장),FC001671,1,민간(대학로 외),2018,50,02-921-5080,https://blog.naver.com/theatre-uex,서울특별시 성북구 동소문로20나길 27 (동선동1가),37.59245,127.0181255,N,N,N,N,N,N,N,N,N,N,"
            "
CTS아트홀,FC001472,1,민간(대학로 외),2005,404,02-6333-1071,http://rent.ctsart.co.kr/,서울특별시 동작구 노량진로 100 (노량진동),37.5129255,126.93698640000002,N,N,N,N,N,Y,Y,N,N,Y,"
            "
김포한강괜찮은홀,FC002017,1,민간(대학로 외), ,110,070-8886-2516, ,경기도 김포시 양촌읍 석모로 103 (석모리),37.651561,126.6394602,N,N,N,N,N,N,N,N,N,Y,"
            "
링크아트센터드림,FC001528,4,민간(대학로),2016,979,02-3481-8843,http://blog.naver.com/dreamartcenter,서울특별시 종로구 동숭길 123 (동숭동),37.5820171,127.00353629999995,N,Y,N,N,N,N,N,N,N,N,"
            "
다산아트홀,FC001931,1,공공(문예회관),2018,496,031-590-4358,https://culture.nyj.go.kr/home/1,경기도 남양주시 다산중앙로 7 (다산동),37.6140062,127.1553452,N,Y,N,N,N,Y,N,N,N,Y,"
            "
후암씨어터(콘텐츠룸),FC002782,1,민간(대학로), ,100, , ,서울특별시 종로구 대학로11길 23 (명륜4가),37.5820588,127.0004181,N,N,N,N,N,N,N,N,N,N,"
            "
"시온아트홀 (구. JK아트홀, 구. 샘아트홀)",FC001298,1,민간(대학로),2017,144,070-8719-9106,https://www.wwww.theblessed.net/,서울특별시 종로구 대학로8가길 52 (동숭동),37.5829439,127.00262709999992,N,N,N,N,N,N,N,N,N,N,"
            "
올래홀,FC000736,1,민간(대학로),2005,172,00-1566-5588, ,서울특별시 종로구 대학로10길 24 (동숭동),37.5815685,127.00353990000008,N,N,N,N,N,N,N,N,N,N,"
            "
더더더,FC003918,1,민간(대학로 외), ,0, , ,서울특별시 중구 을지로38길 9-4 (광희동1가),37.5660433,127.0039785,N,N,N,N,N,N,N,N,N,N,"
            "
공간 222,FC001543,1,민간(대학로 외),2016,33,010-5584-8875, ,서울특별시 성북구 동소문로 24 (동소문동2가),37.5893416,127.00876829999993,N,N,N,N,N,N,N,N,N,N,"
            "
공백공유,FC003789,1,민간(대학로 외), ,70, , ,서울특별시 성북구 솔샘로 73-16 (정릉동),37.6136085,127.0078043,N,N,N,N,N,N,N,N,N,N,"
            "
인천문화예술회관,FC000013,5,공공(문예회관),1994,2258,032-427-8401,http://art.incheon.go.kr/,인천광역시 남동구 예술로 149 (구월동),37.4477666,126.70008329999996,N,N,N,Y,Y,Y,Y,Y,Y,Y,"
            "
인터뮤직홀,FC003248,1,민간(대학로 외), ,0,010-3311-0015, ,대전광역시 중구 보문로254번길 33(대흥동),36.3260063,127.4238914,N,Y,N,N,N,N,N,N,N,Y,"
            "
지니아트홀,FC003172,1,민간(대학로 외), ,0,062-227-2277, ,광주광역시 동구 제봉로 116(장동),35.1487165,126.9222332,N,N,N,N,N,N,N,N,N,N,"
            "
홈플러스 [천안신방점],FC002054,1,민간(대학로 외), ,150,041-552-2080,https://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0171,충청남도 천안시 동남구 신촌1길 23 (신방동),36.7871522,127.1204627,Y,Y,N,Y,N,Y,Y,Y,Y,Y,"
            "
군위 삼국유사교육문화회관,FC000865,1,공공(문예회관),2007,473,054-380-7212,http://www.gunwiart.go.kr/,경상북도 군위군 군위읍 군청로 158,36.237268,128.57393809999996,N,N,N,Y,N,Y,Y,Y,Y,Y,"
            "
해바라기소극장 [부산],FC001920,1,민간(대학로 외), ,119,00-1600-1716, ,부산광역시 남구 용소로13번길 30 (대연동),35.1367693,129.1022655,N,N,N,N,N,N,N,N,N,N,"
            "
유니플렉스,FC001233,3,민간(대학로),2013,1049,02-766-2115,http://www.uniplex.co.kr/,서울특별시 종로구 대학로12길 64 (동숭동),37.5811328,127.00369969999997,N,Y,N,N,N,N,N,N,N,Y,"
            "
홍천문화예술회관,FC000754,1,공공(문예회관),1995,497,033-439-5800,https://www.hccf.or.kr/Home/H30000/H30100/spaceList#spaceArea_8,강원도 홍천군 홍천읍 설악로 1792,37.68890409999999,127.89545399999997,N,N,N,N,N,Y,N,Y,Y,Y,"
            "
꿈나무극장,FC001541,1,공공(기타),2016,153,02-830-2562,https://www.guroartsvalley.or.kr/user/overall/overallArt5.do,서울특별시 구로구 구로동로26길 54 (구로동),37.4898684,126.88724649999995,N,N,N,N,N,Y,Y,N,Y,Y,"
            "
꿈꾸는씨어터,FC001381,1,민간(대학로 외),2013,120,00-1600-8325,http://www.kkumter.co.kr,대구광역시 남구 현충로 148 (대명동),35.8460663,128.5804197,N,N,N,N,N,N,N,N,N,Y,"
            "
극장 PLOT,FC003048,1,민간(대학로 외), ,0,010-4334-2862,https://theaterplot.notion.site/PLOT-128e99f65330414d95e2850bdb2be1dd,서울특별시 서대문구 연세로4길 27(창천동),37.5576008,126.9381984,N,N,N,N,N,N,N,N,N,N,"
            "
도시재생지원센터 어반아트홀(청주),FC003619,1,공공(기타), ,180,043-222-1434,http://www.curs.or.kr/,충청북도 청주시 상당구 중앙로 36 (북문로2가),36.6405022,127.4890366,N,N,N,N,N,N,N,N,N,N,"
            "
업스테이지 (UP Stage),FC002072,1,민간(대학로), ,153,070-4792-8342,https://www.spacecloud.kr/space/30147,서울특별시 종로구 동숭길 41 (동숭동),37.5801085,127.0042703,N,N,N,N,N,N,N,N,N,N,"
            "
씨어터 쿰,FC002588,1,민간(대학로), ,111,02-6085-0015, ,서울특별시 종로구 창경궁로 253-7 (명륜2가),37.5844442,126.9994928,N,N,N,N,N,N,N,N,N,Y,"
            "
안똔체홉극장,FC001137,2,민간(대학로),2007,65,02-745-8960,http://www.chekhov.co.kr,서울특별시 종로구 성균관로3길 23 (명륜3가),37.5830504,126.99701000000004,N,N,N,N,N,N,N,N,N,N,"
            "
신라불교초전지,FC003816,1,기타(비공연장), ,0, , ,경상북도 구미시 도개면 도개다곡길 389-46,36.2909092,128.3633378,N,N,N,N,N,N,N,N,N,N,"
            "
어썸파티룸1호점,FC003807,1,기타(비공연장), ,50,00-1482-1201, ,서울특별시 광진구 동일로22길 95 (화양동),37.5410819,127.0694473,N,N,N,N,N,N,N,N,N,N,"
            "
렌더,FC003827,1,기타(비공연장), ,0, , ,서울특별시 성동구 마조로5길 4 (행당동 4-33) 지하1층,37.5601167,127.0405752,N,N,N,N,N,N,N,N,N,N,"
            "
나비아트홀,FC001420,1,민간(대학로 외),2015,120,055-275-0618,http://www.nabiart.org/,경상남도 창원시 성산구 용지로169번길 11-13(용호동),35.2299871,128.6810528,N,N,N,N,N,N,N,N,N,N,"
            "
남도소리울림터,FC001396,1,공공(문예회관),2015,558,061-981-6688,http://namdosori.or.kr/,전라남도 무안군 삼향읍 남악로 222,34.8048793,126.46175319999998,N,N,N,N,N,N,N,N,N,Y,"
            "
